feature,importance
flow_y_abs_mean,0.2677835152384497
mag_median,0.22938395127148012
flow_y_std,0.16772752446969064
mag_mean,0.061042801520555655
mag_p90,0.05118704995379303
mag_p95,0.050474593134618016
mag_median_max,0.03145621511870683
motion_per_second_p90,0.027655099038992555
mag_median_median,0.024940600199068776
motion_per_second_mean,0.02337329596745809
mag_median_mean,0.022015178502645758
motion_energy_std,0.020795939405076392
mag_median_min,0.017689312441379855
flow_y_median,0.0023009524511485115
mag_min,0.0021739712869361483
