dataset_name,real_speed,mag_mean,mag_median,mag_std,mag_min,mag_max,mag_p25,mag_p75,mag_p90,angle_mean,angle_median,angle_std
Arrow_Gopro_Seeded_notStabilised,0.413,4.26998,1.2644982,4.725603,0.00018969216,15.9295845,0.2982655,9.091713,11.676913,2.0218275,0.9936965,2.068112
Arrow_GoPro_Seeded_Stabilised,0.413,4.1926513,1.200216,4.7844157,0.00013499496,16.199612,0.17814216,9.074512,11.658266,1.9843985,0.8479185,2.0635552
Arrow_Gopro_UnSeeded_notStabilised,0.413,0.28629774,0.24161118,0.19855598,0.00013127981,1.8854823,0.13552023,0.39602298,0.55679613,3.3224823,3.200387,1.703974
Arrow_GoPro_Unseeded_Stabilised,0.413,0.16499668,0.13866909,0.124520205,4.398721e-05,2.1416118,0.08276999,0.21384706,0.30456957,3.1968727,3.169241,1.7910397
Arrow_UAS_Seeded_notStabilised,0.561,2.8794281,1.6301067,3.2456467,4.1822842e-16,16.879965,0.9465657,2.9756203,8.704579,2.585295,2.4046934,2.104836
Arrow_UAS_Seeded_Stabilised,0.561,2.0008688,0.39356637,3.4897637,6.0371456e-15,16.43731,0.13274235,1.5104665,8.683122,2.6930206,2.464797,2.0621624
Arrow_UAS_Unseeded_notStabilised,0.561,0.86848557,0.81140554,0.5776141,0.0,4.55198,0.39806375,1.2318397,1.6715809,3.165233,3.3703785,1.8854909
Arrow_UAS_Unseeded_Stabilised,0.561,0.18106581,0.13387254,0.20649187,0.0,4.7014637,0.07885984,0.21226564,0.32513654,3.0927439,3.0748708,1.8006626
AlpineStabilised,0.821,0.23130384,0.09364679,0.32417798,7.328289e-07,4.674054,0.038871624,0.29697236,0.61958504,3.1419125,3.092041,1.755247
RiverBradano_Stabilised,0.817,0.46205097,0.16649665,1.8100302,0.0,67.309265,0.007478073,0.3967277,0.8867485,3.3868587,3.7099755,1.7723595
RiverBradano_NonStabilised,0.817,0.58907866,0.33173254,0.70952755,0.0,7.303505,0.00018551349,0.99939454,1.59246,3.3816848,3.7559857,1.6814061
1_Castor_Canada,1.381,0.7230153,0.3949052,0.8752309,1.3969301e-06,19.737625,0.16862077,1.0491471,1.7791197,3.0322454,2.9187942,1.5391332
2_Castor_Canada,,0.3818834,0.22095585,0.83967906,5.377447e-18,27.056652,0.11005874,0.41307738,0.75301874,3.1461592,3.1679597,1.6197578
3_Castor_Canada,,0.27954337,0.1371961,0.57699364,1.934424e-18,26.989113,0.0556072,0.28459695,0.6608568,3.136195,3.1025543,1.6371619
4_Castor_Canada,0.141,0.015899891,0.006625573,0.05633335,0.0,5.029594,0.00097464677,0.018472359,0.038527943,3.1372938,3.1415927,1.8283558
LaMorge_orthorectified,0.388,2.8222744,0.66272473,3.5252197,0.0,12.852983,0.06766698,5.47937,8.756673,2.4400945,1.9230767,2.2466578
BrentaFLIR,0.384,1.8217238,0.83729935,2.4960053,0.0,20.723473,0.13882524,2.41889,5.3377204,3.1767592,3.1623435,1.875211
Brenta1,0.384,1.3796827,0.59576666,1.5354326,0.0,7.9429574,0.0878243,2.652849,3.8703249,4.0998745,4.7223544,1.4435095
LaVence,0.651,2.490871,1.8452258,2.1449556,1.8334496e-14,15.253247,0.90868735,3.4419456,5.5335665,3.4788651,3.599426,1.6801227
RiverNoce_12_fps,0.429,1.8299708,1.0220926,1.9748565,4.39749e-22,9.770537,0.013419928,3.4577787,4.845707,2.1553686,1.6560252,1.3284714
Thalhofen,1.791,3.6822786,2.6823342,3.3194497,9.233638e-05,13.953691,0.6579439,6.387958,8.757939,3.4018784,4.5391264,2.6558735
Tiber,2.331,4.8010345,3.7914739,4.3378654,1.401363e-07,35.76272,1.3812984,7.07278,10.649869,3.5245497,3.9672275,1.8248557
SalmonRiver_notStabilised,0.667,0.2990218,0.20169644,0.31355277,4.3091353e-07,4.6885223,0.103994474,0.3826157,0.6515088,3.1925259,3.2110922,1.821079
StJulien,6.001,3.4064174,2.5693557,3.3584933,0.00027790072,17.425663,0.40353584,5.3456025,8.145611,2.614181,2.1455734,1.7519283
